date,travel
1/29/2020,"2,159,047"
1/28/2020,"2,085,468"
1/27/2020,"1,777,171"
1/26/2020,"1,643,435"
1/25/2020,"2,004,609"
1/24/2020,"2,136,584"
1/23/2020,"1,645,196"
1/22/2020,"2,145,063"
1/21/2020,"2,100,401"
1/20/2020,"1,801,444"
1/19/2020,"1,870,459"
1/18/2020,"2,298,616"
1/17/2020,"2,000,260"
1/16/2020,"1,781,893"
1/15/2020,"2,347,075"
1/14/2020,"2,242,656"
1/13/2020,"1,876,782"
1/12/2020,"1,691,205"
1/11/2020,"1,992,453"
1/10/2020,"2,183,734"
1/9/2020,"1,687,974"
1/8/2020,"2,072,543"
1/7/2020,"2,034,472"
1/6/2020,"1,815,040"
1/5/2020,"1,806,480"
1/4/2020,"2,210,542"
1/3/2020,"2,422,272"
1/2/2020,"2,178,656"
1/1/2020,"2,311,732"
12/31/2019,"2,392,331"
12/30/2019,"2,133,253"
12/29/2019,"2,009,880"
12/28/2019,"2,500,396"
12/27/2019,"2,575,985"
12/26/2019,"2,470,786"
12/25/2019,"2,582,580"
12/24/2019,"2,552,194"
12/23/2019,"1,937,235"
12/22/2019,"1,981,433"
12/21/2019,"2,490,503"
12/20/2019,"2,519,399"
12/19/2019,"2,487,987"
12/18/2019,"2,608,088"
12/17/2019,"2,471,408"
12/16/2019,"2,234,374"
12/15/2019,"2,009,112"
12/14/2019,"2,250,386"
12/13/2019,"2,300,248"
12/12/2019,"1,893,871"
12/11/2019,"2,388,029"
12/10/2019,"2,362,310"
12/9/2019,"2,020,488"
12/8/2019,"1,897,051"
12/7/2019,"2,226,290"
12/6/2019,"2,292,079"
12/5/2019,"1,755,801"
12/4/2019,"2,278,205"
12/3/2019,"2,262,878"
12/2/2019,"2,054,380"
12/1/2019,"2,280,403"
11/30/2019,"2,591,470"
11/29/2019,"2,882,915"
11/28/2019,"2,648,268"
11/27/2019,"1,968,137"
11/26/2019,"1,591,158"
11/25/2019,"2,624,250"
11/24/2019,"2,435,170"
11/23/2019,"2,254,188"
11/22/2019,"2,321,546"
11/21/2019,"2,194,291"
11/20/2019,"2,550,459"
11/19/2019,"2,428,095"
11/18/2019,"2,071,631"
11/17/2019,"1,900,895"
11/16/2019,"2,298,856"
11/15/2019,"2,396,681"
11/14/2019,"1,807,230"
11/13/2019,"2,437,211"
11/12/2019,"2,364,920"
11/11/2019,"2,072,207"
11/10/2019,"2,150,003"
11/9/2019,"2,465,392"
11/8/2019,"2,356,349"
11/7/2019,"1,908,805"
11/6/2019,"2,544,350"
11/5/2019,"2,507,365"
11/4/2019,"2,147,882"
11/3/2019,"2,005,101"
11/2/2019,"2,403,304"
11/1/2019,"2,459,525"
10/31/2019,"1,836,781"
10/30/2019,"2,319,906"
10/29/2019,"2,047,910"
10/28/2019,"2,066,516"
10/27/2019,"1,910,506"
10/26/2019,"2,347,017"
10/25/2019,"2,478,287"
10/24/2019,"1,931,971"
10/23/2019,"2,594,337"
10/22/2019,"2,541,581"
10/21/2019,"2,245,199"
10/20/2019,"2,126,637"
10/19/2019,"2,514,673"
10/18/2019,"2,606,266"
